('07/2017', 196452.1740732777)
('09/2017', 209835.76031042036)
('05/2018', 170939.64094001934)
('09/2018', 149145.85036864004)
('03/2017', 243617.04314421446)
('04/2016', 233613.63115644714)
('02/2017', 288029.05970627314)
('11/2015', 808819.8470650569)
('07/2018', 138311.5292169455)
('01/2017', 189311.43773896346)
('09/2016', 192228.69337928842)
('12/2016', 148027.71024397307)
('11/2017', 218269.2586922588)
('09/2015', 821011.3419611065)
('08/2017', 215038.77036466953)
('01/2019', 162559.96713037055)
('10/2015', 1094350.5834600439)
('08/2018', 153986.29403977087)
('10/2018', 150724.15810942015)
('08/2015', 356364.30898021307)
('06/2016', 285748.3862790856)
('06/2017', 204605.61235610663)
('11/2016', 161155.52778544786)
('10/2016', 137674.2365601286)
('04/2017', 237385.24021684224)
('05/2016', 278264.25591171347)
('02/2018', 182769.89091355118)
('11/2018', 166626.70802618316)
('01/2016', 306853.88528227125)
('04/2018', 177497.2147893162)
('08/2016', 151404.46001284503)
('03/2016', 261626.41243942833)
('07/2016', 207590.73473255133)
('12/2017', 201231.02342053744)
('10/2017', 222619.15304743795)
('03/2018', 173841.4812015711)
('02/2016', 421546.35267500667)
('05/2017', 239719.49537133894)
('12/2018', 158980.43103661286)
('06/2018', 160616.6261357689)
('01/2018', 200483.40527553204)
('12/2015', 421430.0369266747)
