("09/2018", 67492.94572316563),
("11/2017", 93905.30591508886),
("07/2017", 89448.46148075399),
("11/2016", 57404.22513024064),
("05/2018", 68689.66603889615),
("08/2017", 99816.92947122817),
("09/2016", 61388.36147413466),
("01/2018", 66942.44379857727),
("01/2019", 62039.826401446655),
("10/2018", 67313.38830806549),
("10/2017", 99301.81389675087),
("04/2016", 110861.20562713647),
("03/2018", 68355.13507986175),
("06/2016", 130820.91818759147),
("10/2016", 58314.67585922841),
("03/2017", 52461.96830553207),
("11/2018", 64089.425515523486),
("12/2016", 49605.751448861796),
("07/2016", 76617.47048995834),
("05/2017", 60245.80687990829),
("06/2017", 82063.0488318244),
("04/2018", 70670.45263719854),
("05/2016", 138294.76214149565),
("02/2017", 50219.770762229804),
("01/2017", 50025.29568577018),
("07/2018", 68976.75947912678),
("06/2018", 69317.0488921443),
("09/2017", 106864.78842644175),
("12/2018", 63052.576453333335),
("12/2017", 83112.51152004872),
("08/2018", 68628.15620598228),
("04/2017", 54201.15017045515),
("02/2018", 68274.86261164049),
("08/2016", 65967.0432588118),
("other", 1.0);
